Родительское Обращение;Родительское Время возникновения;Родительское Время устранения;Родительская Корневая причина;Родительсие Принимаемые меры
ИНЦ22-00159633;04.04.22 17:29;04.04.22 18:11;Ошибка в программном коде ППО;перезапуск сервера
ИНЦ22-00164173;06.04.22 13:43;06.04.22 13:56;Ошибка в программном коде ППО;перезапуск сервера
ИНЦ22-00167058;07.04.22 17:52;07.04.22 18:15;Ошибка в программном коде ППО;перезапуск приложения
ИНЦ22-00169025;08.04.22 15:48;08.04.22 16:30;Ошибка в программном коде ППО;перезапуск сервера
ИНЦ22-00172339;11.04.22 12:03;11.04.22 16:57;Ошибка в программном коде ППО;привлечение ВП
ИНЦ22-00238170;17.05.22 13:04;17.05.22 13:26;Ошибка в программном коде ППО;перезапуск приложения
ИНЦ22-00238424;17.05.22 14:29;17.05.22 17:18;Ошибка в программном коде ППО;переход на резерв
ИНЦ22-00253173;25.05.22 12:31;25.05.22 14:47;Ошибка в программном коде ППО;перезапуск сервера
ИНЦ22-00257954;27.05.22 13:11;27.05.22 14:44;Ошибка в программном коде ППО;перезапуск приложения
ИНЦ22-00267611;01.06.22 13:34;01.06.22 20:19;Ошибка при взаимодействии с сервером дорожного уровня/со смежной системой;привлечение ВП
ИНЦ22-00311494;23.06.22 16:56;23.06.22 17:55;Ошибка при установке/обновлении СПО;перезапуск приложения
ИНЦ22-00327329;01.07.22 10:29;02.07.22 14:07;Ошибка при установке/обновлении ППО;привлечение ВП
ИНЦ22-00370206;21.07.22 10:54;21.07.22 17:05;Ошибка при взаимодействии с сервером дорожного уровня/со смежной системой;привлечение ВП
ИНЦ22-00542908;12.10.22 15:16;12.10.22 15:32;Нагрузка превышающая нормы, заложенные при проектировании ИС;перезапуск сервера
ИНЦ22-00571428;27.10.22 4:16;27.10.22 16:25;Ошибка при установке/обновлении ППО;привлечение ВП
ИНЦ22-00587990;03.11.22 13:43;03.11.22 13:59;Нагрузка превышающая нормы, заложенные при проектировании ИС;перезапуск сервера
ИНЦ22-00590247;05.11.22 14:46;05.11.22 15:02;Нагрузка превышающая нормы, заложенные при проектировании ИС;перезапуск приложения
ИНЦ22-00599699;10.11.22 13:57;10.11.22 19:43;Ошибка при установке/обновлении ППО;привлечение ВП
ИНЦ22-00611784;15.11.22 15:09;15.11.22 23:09;Ошибки при проектировании ИС;привлечение ВП
ИНЦ22-00637901;29.11.22 4:17;29.11.22 8:17;Ошибка при установке/обновлении ППО;диагностика
ИНЦ22-00646799;02.12.22 13:22;02.12.22 13:52;Ошибка при взаимодействии с сервером дорожного уровня/со смежной системой;перезапуск приложения
ИНЦ22-00656328;07.12.22 15:09;07.12.22 16:17;Ошибка при установке/обновлении ППО;перезапуск сервера
ИНЦ22-00657499;08.12.22 7:58;08.12.22 10:40;Ошибка при установке/обновлении ППО;перезапуск приложения
ИНЦ22-00673803;15.12.22 15:12;15.12.22 15:48;Нагрузка превышающая нормы, заложенные при проектировании ИС;перезапуск приложения
